full_title,short_title,main_author,library_name,library_city,culinary_focus,edition_year,edition_number,publication_cities,publication_countries,contributors,publishers,edition_category,short_note,language,translated_from,format,pages,has_illustrations,dimensions,price
"THE LADY'S COMPANION Containing upwards of Three Thousand different Receipts in every kind of Cookery and those the most fashionable; being Four Times the Quantity of any Book of this Sort. I. Making near two Hundred different Sorts of Soops, Pottages, Broths, Sauces, Cullises, &c., after the French, Italian, Dutch, and English Way; also making Cake Soop for the Pocket. II. Dressing Flesh, Fish, and Fowl; this last illustrated with Cuts, shewing how every Fowl is to be truss'd. III. Directions for making Ragoos and Fricaseys. IV. Directions for Dressing all manner of Kitchen Garden Stuff, &c. V. Making two Hundred different Sorts of Puddings, Florendines, Tanzeys, &c., which are four Times the number to be met with in any other Book of this Kind. VI. The whole Art of Pastry, in making upwards of two Hundred Pies, (with the Shapes of them engraven on Copper-Plates) Tarts, Pasties, Custards, Cheese-Cakes, Yorkshire Muffins, &c. VII. Receipts for all Manner of Pickling, Potting, Collaring, &c. VIII. For Preserving, making Creams, Jellies, and all Manner of Confectionary, with particular Receipts for making Orgeat and Blanc Manger. IX. Rules and Directions for setting out Dinners, Suppers, and grand Entertainments. To which is added Bills of Fare for every Month in the Year. Also Directions for Brewing Beers, Ales, &c. making all Sorts of English Wines, Cyder, Mum, Metheglin, Vinegar, Verjuice, Catchup, &c. With the Receipts of Mrs. Stephens for the Stone; Dr. Mead for the Bite of a Mad Dog; the Recipe, sent from Ireland, for the Gout; Sir Hans Sloane's Receipt for Sore Eyes; and the Receipt for making Tar Water.",The Lady's Companion,Anonymous,,,,1753.0,6.0,,,Anonymous (Author); J. Hodges (Publisher); R. Baldwin (Publisher),,Enlarged Edition,,English,Unknown,Unknown,,True,,
"THE FAMILY'S BEST FRIEND: or the whole Art of Cookery made Plain and Easy; in a method intirely new and suited to every Capacity. By his Majestys Authority. Calculated for the Preservation of Health, and upon the principles of Frugality. Containing compleat directions in the various Branches of Cookery, Pickleing and Preserving; also in the making of Cakes, Creams, Jellies, Soops, Pastes, and all Sorts of Made Wines, &c. The whole exemplified in above Five Hundred choice Receipts: being the Result of above thirty Years Practice and Experience; together with an attentive Observation of all the Books hitherto published in Cookery. To which is added, a Remedy for preventing Persons from catching the Small-Pox, Plague, or any Epidemical Disorder; Dr. Mead's Cure for the Bite of a Mad Dog; and Instructions for preparing such Diets as are proper for Sick Persons. As also, a valuable Receipt for taking Iron Moulds out of all kinds of Linnen, without the least Prejudice to the Cloth tho' ever so fine, &c. &c. &c. By Arabella Fairfax.",The Family's Best Friend,Arabella Fairfax,,,,1753.0,5.0,,,Arabella Fairfax (Author),,Reprint,,English,Unknown,Unknown,,,,2 s.
"THE DIRECTOR: or, Young Woman’s Best Companion, containing above Three Hundred easy Receipts in Cookery, Pastry, Preserving, Candying, Pickling, Collaring, Physick, and Surgery. To which are added, plain and easy Instructions for chusing Beef, Mutton, Veal, Fish, Fowl, and all other Eatables: Also, Directions for Carving, and Made Wines: likewise Bills of Fare for every Month in the Year. With a complete Index to the Whole. A Book necessary for all Families. By Sarah Jackson. Collected for the Use of her own Family, and printed at the Request of her Friends. Being one of the Plainest and Cheapest of the Kind. The Whole makes a complete Family Cook and Physician.",The Director,Sarah Jackson,,,,1754.0,1.0,,,Sarah Jackson (Author); J. Fuller (Publisher); S. Neale (Publisher),,Original,,English,Unknown,Unknown,112.0,,,
"COOKERY REFORMED: or The Lady’s Assistant. Containing a select Number of the best and most approved Receipts in Cookery, Pastry, Preserving, Candying, Pickling, &c. Together with a distinct Account of the Nature of Aliments, and what are most suitable to every Constitution. Published from Papers collected by several Gentlemen and Ladies eminent for their good Sense and Œconomy. To which is added the Family Physician; comprehending an easy, safe and certain Method of curing most Diseases incident to the Human Body. Published at the Request of a Physician of great Experience, who for the Benefit of the Purchaser, has carefully corrected this Work; and shewn why several things heretofore used in Cookery, and inserted in other Books, have been prejudicial to Mankind.",Cookery Reformed,Anonymous,,,,1755.0,1.0,,,Anonymous (Compiler); P. Davey (Publisher); B. Law (Publisher),,Original,,English,Unknown,Unknown,368.0,,,
"THE LADIES COMPANION; or, The Housekeeper's Guide: being a Magazine of such Choice Matters, as the Housekeeper ought not to be without; and what will compleatly accomplish the Young Servant for the best of Families. Containing, among a Variety of other Things, all that concerns, - Cookery, - Confectionary, - Preserving, - Pastry, - Pickling, - Cordials, - Made Wines, - Brewing, &c. With a great Variety of other Materials as will be found both Necessary and Valuable. Particularly, an excellent Method for Preserving of Metals from Rust, ... By a Gentlewoman, Who has been a Housekeeper to several Noble Families many Years.",The Ladies Companion (Housekeeper's Guide),Anonymous,,,,1756.0,1.0,,,Anonymous (Author),,Original,,English,Unknown,Unknown,,,,
"THE ART OF COOKERY, containing above Six Hundred and Fifty of the most approv’d Receipts heretofore published, under the following Heads, viz.- Roasting,- Boiling,- Frying,- Broiling,- Baking,- Fricasees,- Puddings,- Custards, Cakes, Pickling, Cheese-Cakes, Preserving, Tarts, Pastry, Pyes, Collering, Soops, Confectionary, Made-Wines, Creams, Jellies, Ragoos, Candying, Brasing, &c. Also, a Bill of Fare for every Month in the Year, with an Alphabetical Index to the Whole: Being a Book highly necessary for all Families, having the Grounds of Cookery fully display’d therein. By John Thacker, Cook to the Honourable and Reverend the Dean and Chapter in Durham.",The Art of Cookery,John Thacker,,,,1758.0,1.0,,,John Thacker (Author); I. Thompson and Company (Printer),,Original,,English,Unknown,Unknown,,,,
"A NEW AND EASY METHOD OF COOKERY, treating, I. Of Gravies, Soups, Broths, &c. II. Of Fish, and their Sauces. III. To Pot and Make Hams, &c. IV. Of Pies, Pasties, &c. V. Of Pickling and Preserving. VI. Of Made Wines, Distilling and Brewing, &c. To which are added, by Way of Appendix, Fifty-Three New and Useful Receipts, and Directions for Carving. By Elizabeth Cleland. Chiefly intended for the Benefit of the Young Ladies who attend Her School.",A New and Easy Method of Cookery,Elizabeth Cleland,,,,1759.0,2.0,,,Elizabeth Cleland (Author); C. Wright and Company (Printer),,Reprint,,English,Unknown,Unknown,,,,
"A COMPLETE SYSTEM OF COOKERY In which is set forth, a Variety of genuine Receipts, collected from several Years Experience under the celebrated Mr. de St. Clouet, sometime since Cook to his Grace the Duke of Newcastle. By William Verral, Master of the White-Hart Inn in Lewes, Sussex. Together with an Introductory Preface, shewing how every Dish is brought to Table, and in what Manner the meanest Capacity shall never err in doing what his Bill of Fare contains. To which is added, a true Character of Mons. de St. Clouet.",A Complete System of Cookery,William Verral,,,,1759.0,1.0,,,William Verral (Author); Edward Verral (Publisher); John Rivington (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE SERVANT'S DIRECTORY Or, House-Keeper’s Companion: wherein the Duties of the Chamber-Maid, Nursery-Maid, House-Maid, Landery-Maid, Scullion, or Under-Cook, Are fully and distinctly explained. To which is annexed a Diary, or House-keeper’s Pocket-Book for the whole Year. With Directions for keeping Accounts with Tradesmen, and many other Particulars, fit to be known by the Mistress of a Family. By H. Glass, Author of The Art of Cookery made plain and easy.",The Servant's Directory,H. Glass,,,,1760.0,1.0,,,H. Glass (Author); W. Johnston (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE COMPLETE CONFECTIONER: or the Whole Art of Confectionary made Plain and Easy. Shewing the various Methods of Preserving and Candying, both dry and liquid, all Kinds of Fruits, Flowers, and Herbs; The different Ways of Clarifying Sugar; and the Method of keeping Fruit, Nuts, and Flowers, fresh and fine all the Year round. ... By H. Glasse, Author of the Art of Cookery.",The Complete Confectioner,H. Glasse,,,,1760.0,1.0,,,H. Glasse (Author); J. Cooke (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE COMPLETE CONFECTIONER: or the Whole Art of Confectionary made Plain and Easy. Shewing the various Methods of Preserving and Candying, both dry and liquid, all Kinds of Fruits, Flowers, and Herbs; The different Ways of Clarifying Sugar; and the Method of keeping Fruit, Nuts, and Flowers, fresh and fine all the Year round. ... By H. Glasse, Author of the Art of Cookery.",The Complete Confectioner,H. Glasse,,,,1772.0,,,,H. Glasse (Author),,Reprint,,English,Unknown,Unknown,,,,
"THE COMPLETE CONFECTIONER: or the Whole Art of Confectionary made Plain and Easy. Shewing the various Methods of Preserving and Candying, both dry and liquid, all Kinds of Fruits, Flowers, and Herbs; The different Ways of Clarifying Sugar; and the Method of keeping Fruit, Nuts, and Flowers, fresh and fine all the Year round. ... By H. Glasse, Author of the Art of Cookery.",The Complete Confectioner,H. Glasse,,,,1800.0,,,,Mrs. Maria Wilson (Editor),,Revised Edition,,English,Unknown,Unknown,,,,
"THE TOWN AND COUNTRY COOK or, Young Woman’s Best Guide, in the whole Art of Cookery, giving particular Directions for Roasting, Boiling, Broiling, Frying, and Stewing; And the most approved Methods of making Hashes, Sauces, Gravies, Fricassees, Soups, &c. &c. Together with the whole Art of Pastry; and the choicest Receipts for Cakes, &c. To which are added many other Particulars.",The Town and Country Cook,Anonymous,,,,1760.0,1.0,,,Anonymous (Author); W. Lane (Publisher),,Original,,English,Unknown,Unknown,84.0,True,,0.5 s.
"PROFESSED COOKERY containing- Boiling,- Roasting,- Pastry,- Preserving,- Pickling,- Potting,- Made-Wines,- Gellies, And Part of Confectionaries. With an Essay upon the Lady’s Art of Cookery: Together with a Plan of Housekeeping. By Ann Cook, Teacher of the True Art of Cookery. The Third Edition.",Professed Cookery,Ann Cook,,,,1760.0,3.0,,,Ann Cook (Author),,Reprint,,English,Unknown,Unknown,,,,6 s.
"THE LONDON COOK, or the whole Art of Cookery made easy and familiar. Containing a great Number of approved and practical Receipts in every Branch of Cookery. By William Gelleroy, late Cook to her Grace the Dutchess of Argyle, and now to the Right Hon. Sir Samuel Fludger, Bart., Lord Mayor of the City of London. To which is prefixed, a large Copper-Plate, representing his Majesty's Table, with its proper Removes, as it was served at Guild-Hall, on the 9th of November last, being the Lord Mayor's Day.",The London Cook,William Gelleroy,,,,1762.0,1.0,,,William Gelleroy (Author); S. Crowder and Co. (Publisher); J. Coote (Publisher); J. Fletcher (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE COMPLETE ENGLISH COOK; or Prudent Housewife Being an entire New Collection of the most Genteel, yet least Expensive Receipts in every Branch of Cookery and good Housewifery. By Catherine Brooks of Red-Lyon-Street. To which is added, the Physical Director; being near Two Hundred safe and certain Receipts for the Cure of most Disorders incident to the Human Body. Also the whole Art of Clear-Starching, Ironing, &c. The Second Edition, with the Addition of a great variety of Made Dishes, &c.",The Complete English Cook (Brooks),Catherine Brooks,,,,1762.0,2.0,,,Catherine Brooks (Author); J. Cooke (Publisher),,Revised Edition,,English,Unknown,Duodecimo,132.0,True,,1 s.
"THE COMPLETE SERVANT MAID: or Young Woman’s best Companion. Containing full, plain, and easy Directions for qualifying them for Service in General, but more especially for the Places of- Lady’s Woman,- Housekeeper,- Chambermaid,- Nursery Maid,- Housemaid,- Laundry Maid,- Cook Maid, Kitchen, or Scullery Maid, Dairy Maid. To which are added, useful Instructions for discharging the Duties of each Character, ... By Mrs. Anne Barker.",The Complete Servant Maid,Mrs. Anne Barker,,,,1762.0,1.0,,,Mrs. Anne Barker (Author); J. Cooke (Publisher),,Original,,English,Unknown,Unknown,,,,1 s.
THE ART OF MODERN COOKERY DISPLAYED.,The Art of Modern Cookery Displayed,Anonymous,,,,1766.0,,,,Anonymous (Author),,Unknown,,English,Unknown,Unknown,,,,
"THE MODERN ART OF COOKERY IMPROVED: or, Elegant, Cheap, and Easy Methods, of preparing most of the Dishes now in Vogue; in the Composition whereof both Health and Pleasure have been consulted. By Mrs. Ann Shackleford, of Winchester. To which is added an Appendix; containing a Dissertation on the different kinds of Food, their Nature, Quality, and various Uses, by a Physician.",The Modern Art of Cookery Improved,Ann Shackleford,,,,1767.0,1.0,,,Ann Shackleford (Author); J. Newberry (Publisher); F. Newberry (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE COMPLETE ENGLISH COOK; or, Prudent Housewife, being an entire new Collection of the most general, yet least expensive Receipts in every Branch of Cookery and Good Housewifery. By Ann Peckham of Leeds.",The Complete English Cook (Peckham),Ann Peckham,,,,1767.0,1.0,,,Ann Peckham (Author); Griffith Wright (Printer); J. Ogle (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE YOUNG LADIES SCHOOL OF ARTS, containing a great Variety of Practical Receipts, in- Gum-Flowers- Filligree- Japanning- Shell-Work- Gilding- Painting, Cosmetics, Jamms, Jellies, Pickles, Preserves, Candying, Cakes, Made Wines, Cordials, Clear Starching, &c. Also, a great many Curious Receipts both useful and entertaining, never before published. By Mrs. Hannah Robertson.",The Young Ladies School of Arts,Hannah Robertson,,,,1767.0,2.0,,,Hannah Robertson (Author); Wal. Ruddiman Junior (Printer),,Reprint,,English,Unknown,Duodecimo,182.0,True,,
"PRIMITIVE COOKERY: or the Kitchen Garden display'd. Containing a Collection of Receipts for preparing a great Variety of cheap, healthful and palatable Dishes, without either Fish, Flesh, or Fowl; with a Bill of Fare of Seventy Dishes, that will not cost above Two-pence each. Likewise Directions for pickling, gathering, and preserving Herbs, Fruits and Flowers; With many other Articles appertaining to the Product of the Kitchen-Garden, Orchard, &c.",Primitive Cookery,Anonymous,,,,1767.0,2.0,,,Anonymous (Author); J. Williams (Publisher),,Reprint,,English,Unknown,Unknown,,,,1 s.
"THE COMPLETE COOK: teaching the Art of Cookery in All its Branches; and to Spread a Table, in a Useful, Substantial and Splendid Manner, at all Seasons in the Year. With Practical Instructions to Choose, Buy, Dress and Carve all Sorts of Provisions. ... For the Use of Families. By James Jenks, Cook.",The Complete Cook,James Jenks,,,,1768.0,1.0,,,James Jenks (Author); E. and C. Dilly (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE EXPERIENCED ENGLISH HOUSE-KEEPER, for the Use and Ease of Ladies, House-keepers, Cooks, &c. Wrote purely from Practice, and dedicated to the Hon. Lady Elizabeth Warburton. By J. Skeat.",The Experienced English House-keeper,J. Skeat,,,,1769.0,1.0,,,J. Skeat (Author); J. Crouse (Publisher),,Original,,English,Unknown,Quarto,,True,,2.5 s.
"THE LADY'S, HOUSEWIFE'S, AND COOK-MAID'S ASSISTANT: or, The Art of Cookery explained and adapted to the meanest Capacity. Containing, I. How to roast and boil to perfection every thing necessary to be sent up to table. II. Of made-dishes. III. To make a number of pretty little dishes for a supper or side-dish, and little corner dishes for a great table. ... By E. Taylor.","The Lady's, Housewife's, and Cook-maid's Assistant",E. Taylor,,,,1769.0,1.0,,,E. Taylor (Author); H. Taylor (Printer),,Original,,English,Unknown,Duodecimo,276.0,,,
"THE PROFESSED COOK: or, The Modern Art of Cookery, Pastry, and Confectionary, made Plain and Easy. Consisting of the most approved Methods in the French as well as English Cookery. ... Translated from Les Soupers de la Cour, with the Addition of the best Receipts which have ever appear'd in the French Language. And adapted to the London Markets by the Editor. The Second Edition.",The Professed Cook,Anonymous,,,,1769.0,2.0,,,Anonymous (Translator); A. Davis (Publisher); T. Caslon (Publisher),,Translation,,English,French,Unknown,,,,
"THE COURT AND COUNTRY CONFECTIONER Or, The House-Keeper's Guide; to a more speedy, plain, and familiar method of understanding the whole art of confectionary, pastry, distilling, and the making of fine flavoured English wines from all kinds of fruits, herbs, and flowers; comprehending near four hundred and fifty easy and practical receipts, never before made known. By an Ingenious Foreigner, now head confectioner to the Spanish Ambassador in England.",The Court and Country Confectioner,Anonymous,,,,1770.0,1.0,,,Anonymous (Author); G. Riley (Publisher); A. Cooke (Publisher),,Original,,English,Unknown,Unknown,271.0,,,
"THE NEW LONDON AND COUNTRY COOK Or, The Whole Art of Cookery Displayed in the Newest and Most Fashionable Taste. ... By Caroline Butler, of Charlotte-Street, who has practised Cookery in all its various Branches, and in the best Families, upwards of Thirty Years.",The New London and Country Cook,Caroline Butler,,,,1770.0,1.0,,,Caroline Butler (Author); J. Cooke (Publisher),,Original,,English,Unknown,Unknown,108.0,True,,1 s.
THE LADIES DELIGHT: or Cook-Maids best Instructor.,The Ladies Delight,Anonymous,,,,1770.0,,,,Anonymous (Author); Henry Woodgate (Publisher); Samuel Brooks (Publisher),,Unknown,,English,Unknown,Unknown,116.0,,,
"THE BRITISH HOUSEWIFE: or, the Cook, Housekeeper's, and Gardiner's Companion. Calculated for the Service both of London and the Country; And directing what is to be done in the Providing for, Conducting, and Managing a Family throughout the Year. ... By Mrs. Martha Bradley, late of Bath: being the Result of upwards of Thirty Years Experience.",The British Housewife,Martha Bradley,,,,1770.0,1.0,,,Martha Bradley (Author); S. Crowder (Publisher); H. Woodgate (Publisher),,Original,,English,Unknown,Unknown,752.0,True,,
"COOKERY AND PASTRY As taught and practised by Mrs. Maciver, teacher of those Arts in Edinburgh.",Cookery and Pastry,Mrs. Maciver,,,,1773.0,1.0,,,Mrs. Maciver (Author),,Original,,English,Unknown,Unknown,,,,
"THE COMPLETE HOUSE-KEEPER, AND PROFESSSED COOK Calculated for the greater Ease and Assistance of Ladies, House-keepers, Cooks, &c. &c. Containing upwards of Seven Hundred practical and approved Receipts ... A New Edition, with considerable Additions and Improvements. By Mary Smith, late House-Keeper to Sir Walter Blackett, Bart.",The Complete House-keeper and Professed Cook,Mary Smith,,,,1772.0,1.0,,,Mary Smith (Author); S. Hodgson (Publisher); G. G. J. and J. Robinson (Publisher),,Original,,English,Unknown,Unknown,,True,,
"A COLLECTION OF ONE HUNDRED AND THIRTY-SEVEN APPROVED RECEIPTS in Pastry and Cookery, viz.- Bread, Pastes, Baken Meats, Seed Cakes, Preserves, Marmalades, Jellies, Confections, Rules for a Cook-Maid, Dressing of Meat in different Ways, Fattening Fowls, Carving, &c. To which are added, Directions for making the best Cosmetics, Washing Gauges, Muslins, &c. and Painting of Rooms, Stair Cases, &c.",A Collection of One Hundred and Thirty-Seven Approved Receipts,Anonymous,,,,1774.0,1.0,,,Anonymous (Compiler); Alexander Thomson (Printer),,Original,,English,Unknown,Duodecimo,52.0,,,
A CHOICE COLLECTION OF COOKERY RECEIPTS.,A Choice Collection of Cookery Receipts,Anonymous,,,,1775.0,1.0,,,Anonymous (Compiler),,Original,,English,Unknown,Unknown,24.0,True,,
"THE LADY'S ASSISTANT for Regulating and Supplying her Table, being a Complete System of Cookery, containing one Hundred and Fifty select Bills of Fare, properly disposed for Family Dinners of Five Dishes, to Two Courses of Eleven and Fifteen; With upwards of Fifty Bills of Fare for Suppers, from Five Dishes to Nineteen; and several Deserts: Including likewise, the fullest and choicest Receipts of various Kinds, with full Directions for preparing them in the most approved Manner, from which a continual Change may be made, as wanted, in the several Bills of Fare: Published from the Manuscript Collection of Mrs. Charlotte Mason, a Professed Housekeeper.",The Lady's Assistant,Mrs. Charlotte Mason,,,,1775.0,2.0,,,Mrs. Charlotte Mason (Author),,Revised Edition,,English,Unknown,Unknown,,,,
"THE COMPLETE PRACTICAL COOK: or, A New System of the Whole Art and Mystery of Cookery. Being a Select Collection of above Five Hundred Recipes for Dressing, after the most Curious and Elegant Manner (as well Foreign as English) all Kinds of Flesh, Fish, Fowl, &c. As also Directions to make all Sorts of excellent Pottages and Soups, fine Pastry, both sweet and savoury, delicate Puddings, exquisite Sauces, and rich Jellies. With the best Rules for Preserving, Potting, Pickling, &c. Fitted for all occasions: but more especially for the most Grand and Sumptuous Entertainments. Adorned with Sixty Curious Copper Plates; exhibiting the full Seasons of the Year, and Tables proper for Every Month; as also Variety of large Ovals and Rounds, and Ambogues and Square Tables for Coronation-Feasts, Instalments, &c. The Whole intirely New; and none of the Recipes ever published in any Treatise of this Kind. Approved by divers of the Prime Nobility; and by several Masters of the Art and Mystery of Cookery.",The Complete Practical Cook,Charles Carter,,,,1730.0,1.0,,,Charles Carter (Author); W. Meadows (Publisher); C. Rivington (Publisher); R. Hett (Publisher),,Original,,English,Unknown,Quarto,,True,,
"THE COMPLEAT CITY AND COUNTRY COOK; or, Accomplish'd Housewife. Containing Several Hundred of the most approv'd Receipts in- Cookery,- Confectionary,- Cordials,- Cosmeticks,- Jellies, Pastry, Pickles, Preserving, Syrups, English Wines, &c. Illustrated with Forty-nine large Copper Plates, directing the regular placing the various Dishes on the Table, from one to four or five Courses: Also, Bills of Fare according to the several Seasons for every Month of the Year. Likewise, the Horse-shoe Table for the Ladies at the late Instalment at Windsor, the Lord Mayor's Table, and other Hall Dinners in the City of London; with a Fish Table, &c. To which is added by way of Appendix, near Two Hundred of the most approv'd Receipts in Physick and Surgery for the Cure of the most common Diseases incident to Families: the Collection of a Noble Lady Deceased.",The Compleat City and Country Cook,Charles Carter,,,,1732.0,1.0,,,Charles Carter (Author); A. Bettesworth (Publisher); C. Hitch (Publisher); C. Davis (Publisher); T. Green (Publisher); S. Austen (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE MODERN COOK, by Mr. Vincent La Chapelle, Chief Cook to the Right Honourable the Earl of Chesterfield.",The Modern Cook,Vincent La Chapelle,,,,1733.0,1.0,,,Vincent La Chapelle (Author); Nicolas Prevost (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE MODERN COOK, by Mr. Vincent La Chapelle, Chief Cook to the Right Honourable the Earl of Chesterfield.",The Modern Cook,Vincent La Chapelle,,,,1736.0,2.0,,,Vincent La Chapelle (Author),,Revised Edition,,English,Unknown,Unknown,,True,,
"THE MODERN COOK, by Mr. Vincent La Chapelle, Chief Cook to the Right Honourable the Earl of Chesterfield.",The Modern Cook,Vincent La Chapelle,,,,1744.0,3.0,,,Vincent La Chapelle (Author),,Revised Edition,,English,Unknown,Unknown,,True,,
"THE MODERN COOK, by Mr. Vincent La Chapelle, Chief Cook to the Right Honourable the Earl of Chesterfield.",The Modern Cook,Vincent La Chapelle,,,,1751.0,4.0,,,Vincent La Chapelle (Author),,Revised Edition,,English,Unknown,Unknown,,True,,
"THE HOUSE-KEEPER'S POCKET-BOOK, and Compleat Family Cook. Containing above Three Hundred Curious and Uncommon Receipts in- Cookery,- Pastry,- Preserving,- Pickling,- Candying,- Collaring, &c. With Plain and Easy Instructions for preparing and dressing everything suitable for an Elegant Entertainment, from Two Dishes to Five or Ten, &c. And Directions for placing them in their proper Order. Concluding with many Excellent Prescriptions of the most Eminent Physicians, of singular Efficacy in most Distempers incident to the Human Body: And to the whole is prefix'd, such a copious and useful Bill of Fare of all manner of Provisions in Season for every Month of the Year.",The House-Keeper's Pocket-Book,Sarah Harrison,,,,1733.0,1.0,,,Sarah Harrison (Author); T. Worrall (Publisher),,Original,,English,Unknown,Unknown,,,,None 2s.6d.
"THE HOUSE-KEEPER'S POCKET-BOOK, and Compleat Family Cook. Containing above Three Hundred Curious and Uncommon Receipts in- Cookery,- Pastry,- Preserving,- Pickling,- Candying,- Collaring, &c. With Plain and Easy Instructions for preparing and dressing everything suitable for an Elegant Entertainment, from Two Dishes to Five or Ten, &c. And Directions for placing them in their proper Order. Concluding with many Excellent Prescriptions of the most Eminent Physicians, of singular Efficacy in most Distempers incident to the Human Body: And to the whole is prefix'd, such a copious and useful Bill of Fare of all manner of Provisions in Season for every Month of the Year.",The House-Keeper's Pocket-Book,Sarah Harrison,,,,1739.0,2.0,,,,,Reprint,,English,Unknown,Unknown,,,,
"THE HOUSE-KEEPER'S POCKET-BOOK, and Compleat Family Cook. Containing above Three Hundred Curious and Uncommon Receipts in- Cookery,- Pastry,- Preserving,- Pickling,- Candying,- Collaring, &c. With Plain and Easy Instructions for preparing and dressing everything suitable for an Elegant Entertainment, from Two Dishes to Five or Ten, &c. And Directions for placing them in their proper Order. Concluding with many Excellent Prescriptions of the most Eminent Physicians, of singular Efficacy in most Distempers incident to the Human Body: And to the whole is prefix'd, such a copious and useful Bill of Fare of all manner of Provisions in Season for every Month of the Year.",The House-Keeper's Pocket-Book,Sarah Harrison,,,,1748.0,4.0,,,,,Reprint,,English,Unknown,Unknown,,,,
"THE HOUSE-KEEPER'S POCKET-BOOK, and Compleat Family Cook. Containing above Three Hundred Curious and Uncommon Receipts in- Cookery,- Pastry,- Preserving,- Pickling,- Candying,- Collaring, &c. With Plain and Easy Instructions for preparing and dressing everything suitable for an Elegant Entertainment, from Two Dishes to Five or Ten, &c. And Directions for placing them in their proper Order. Concluding with many Excellent Prescriptions of the most Eminent Physicians, of singular Efficacy in most Distempers incident to the Human Body: And to the whole is prefix'd, such a copious and useful Bill of Fare of all manner of Provisions in Season for every Month of the Year.",The House-Keeper's Pocket-Book,Sarah Harrison,,,,1751.0,5.0,,,,,Reprint,,English,Unknown,Unknown,,,,
"THE HOUSE-KEEPER'S POCKET-BOOK, and Compleat Family Cook. Containing above Three Hundred Curious and Uncommon Receipts in- Cookery,- Pastry,- Preserving,- Pickling,- Candying,- Collaring, &c. With Plain and Easy Instructions for preparing and dressing everything suitable for an Elegant Entertainment, from Two Dishes to Five or Ten, &c. And Directions for placing them in their proper Order. Concluding with many Excellent Prescriptions of the most Eminent Physicians, of singular Efficacy in most Distempers incident to the Human Body: And to the whole is prefix'd, such a copious and useful Bill of Fare of all manner of Provisions in Season for every Month of the Year.",The House-Keeper's Pocket-Book,Sarah Harrison,,,,1755.0,6.0,,,,,Reprint,,English,Unknown,Unknown,,,,
"FIVE HUNDRED NEW RECEIPTS in- Cookery,- Confectionary,- Pastry,(Preserving, Conserving,Pickling;)and the several Branches of these Arts necessary to be known by all good Housewives.",Five Hundred New Receipts,John Middleton,,,,1734.0,1.0,,,John Middleton (Author); Henry Howard (PrefaceWriter); Tho. Astley (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE YOUNG LADY'S COMPANION in- Cookery,- And- Pastry,(Preserving,Pickling,Candying, &c.) Containing the newest and best Receipts for making all Sorts of Broths, Gravies, Soups, Ragoo's, Hashes, &c. Dressing several Sorts of Meats, Collering, Potting, and making Force-Meats, &c. Also making of Cakes, Creams, Jellies, Marmalades, Tarts, Puddings, Pies, Pasties, Biscuits, Custards, &c. Likewise Preserving and Candying Angelico, Apples, Cherries, Currants, Figs, Gooseberries, Grapes, Oranges, Peaches, Nectarines, &c. Violets, Roses, Cowslips, and other Flowers. And the best Method of Pickling Melons, Cucumbers, Barberries, Mushrooms, Purflame, &c.",The Young Lady's Companion,Anonymous,,,,1734.0,1.0,,,Anonymous (Author); A. Bettesworth (Publisher); C. Hitch (Publisher); J. Hazard (Publisher); W. Bickerton (Publisher); C. Corbett (Publisher); R. Willock (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE GENTLEMAN'S COMPANION AND TRADESMAN'S DELIGHT. Containing The Mystery of Dying in all its Branches. The Manner of preparing Colours. The Method of cleaning and taking out Stains from Silks, Woollen, or Linnen. To clean Gold or Silver Lace, and Plate. To prepare a Cement for China, or Glass. The Art of Drawing, Limning, Painting, Etching, Engraving, Carving, Gilding, Enamelling, and Refreshing Pictures. Likewise the Quality of Natural and Artificial Metals. How to harden or soften them. The Art of soldering, burnishing, and gilding Metals. To make all Sorts of Ink. To prepare Gold and Silver for Writing. To make Sealing-Wax, or Wafers. To know the Purity of Gold or Silver, and detect counterfeit Coins. The great Mr. Boyle's Method of writing in such a Manner.",The Gentleman's Companion and Tradesman's Delight,Anonymous,,,,1735.0,1.0,,,Anonymous (Author); J. Stone (Publisher),,Original,,English,Unknown,Unknown,,,,None 2s.6d.
"THE COMPLETE FAMILY-PIECE: and, Country Gentleman, and Farmer’s Best Guide. In Three Parts. Part I. Containing a very choice and valuable Collection of near Eight Hundred well-experienced Practical Family-Receipts in Physick and Surgery; Cookery, Pastry and Confectionary, with a complete Bill of Fare for every Month in the Year, and Instructions for placing the Dishes on a Table; ... Part II. Containing, I. Full Instructions to be observed in Hunting, Coursing, Setting and Shooting; ... Part III. Containing practical Rules, and Methods, for the Improving of Land, and Managing a Farm in all its Branches; ... The Whole, being faithfully Collected by several very Eminent and ingenious Gentlemen.",The Complete Family-Piece,Anonymous,,,,1736.0,1.0,,,Anonymous (Compiler); T. Longman (Publisher),,Original,,English,Unknown,Unknown,,,,None 3s.6d.
